NGPUS = 1
Training the global horizontal and global vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and global vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.61 MBs,
 --- Num params: 37.893 mil. 
Epoch 1, 1/150, training mseloss: 0.674746, testing mseloss: 0.649302
Epoch 2, 2/150, training mseloss: 0.609092, testing mseloss: 0.601599
Epoch 3, 3/150, training mseloss: 0.571193, testing mseloss: 0.597557
Epoch 4, 4/150, training mseloss: 0.544963, testing mseloss: 0.572881
Epoch 5, 5/150, training mseloss: 0.525976, testing mseloss: 0.554365
Epoch 6, 6/150, training mseloss: 0.511574, testing mseloss: 0.580972
Epoch 7, 7/150, training mseloss: 0.499893, testing mseloss: 0.517974
Epoch 8, 8/150, training mseloss: 0.490050, testing mseloss: 0.532893
Epoch 9, 9/150, training mseloss: 0.482024, testing mseloss: 0.510213
Epoch 10, 10/150, training mseloss: 0.475700, testing mseloss: 0.505551
Epoch 11, 11/150, training mseloss: 0.469953, testing mseloss: 0.503577
Epoch 12, 12/150, training mseloss: 0.465176, testing mseloss: 0.497524
Epoch 13, 13/150, training mseloss: 0.460657, testing mseloss: 0.501063
Epoch 14, 14/150, training mseloss: 0.456318, testing mseloss: 0.487858
Epoch 15, 15/150, training mseloss: 0.452759, testing mseloss: 0.489912
Epoch 16, 16/150, training mseloss: 0.449160, testing mseloss: 0.483915
Epoch 17, 17/150, training mseloss: 0.446136, testing mseloss: 0.485006
Epoch 18, 18/150, training mseloss: 0.443161, testing mseloss: 0.490562
Epoch 19, 19/150, training mseloss: 0.440259, testing mseloss: 0.477075
Epoch 20, 20/150, training mseloss: 0.437850, testing mseloss: 0.488918
Epoch 21, 21/150, training mseloss: 0.435036, testing mseloss: 0.471523
Epoch 22, 22/150, training mseloss: 0.432779, testing mseloss: 0.476683
Epoch 23, 23/150, training mseloss: 0.430437, testing mseloss: 0.476562
Epoch 24, 24/150, training mseloss: 0.428292, testing mseloss: 0.464842
Epoch 25, 25/150, training mseloss: 0.426520, testing mseloss: 0.480934
Epoch 26, 26/150, training mseloss: 0.424298, testing mseloss: 0.463738
Epoch 27, 27/150, training mseloss: 0.422776, testing mseloss: 0.471436
Epoch 28, 28/150, training mseloss: 0.420955, testing mseloss: 0.462480
Epoch 29, 29/150, training mseloss: 0.419271, testing mseloss: 0.464532
Epoch 30, 30/150, training mseloss: 0.417775, testing mseloss: 0.475915
Epoch 31, 31/150, training mseloss: 0.415994, testing mseloss: 0.456355
Epoch 32, 32/150, training mseloss: 0.415047, testing mseloss: 0.465589
Epoch 33, 33/150, training mseloss: 0.413410, testing mseloss: 0.458561
Epoch 34, 34/150, training mseloss: 0.412338, testing mseloss: 0.461013
Epoch 35, 35/150, training mseloss: 0.411101, testing mseloss: 0.461769
Epoch 36, 36/150, training mseloss: 0.409848, testing mseloss: 0.455808
Epoch 37, 37/150, training mseloss: 0.408999, testing mseloss: 0.467321
Epoch 38, 38/150, training mseloss: 0.407617, testing mseloss: 0.451103
Epoch 39, 39/150, training mseloss: 0.406819, testing mseloss: 0.462087
Epoch 40, 40/150, training mseloss: 0.405716, testing mseloss: 0.454190
Epoch 41, 41/150, training mseloss: 0.404838, testing mseloss: 0.455687
Epoch 42, 42/150, training mseloss: 0.404049, testing mseloss: 0.460497
Epoch 43, 43/150, training mseloss: 0.402915, testing mseloss: 0.452701
Epoch 44, 44/150, training mseloss: 0.402253, testing mseloss: 0.466365
Epoch 45, 45/150, training mseloss: 0.401113, testing mseloss: 0.451352
Epoch 46, 46/150, training mseloss: 0.400500, testing mseloss: 0.457663
Epoch 47, 47/150, training mseloss: 0.399549, testing mseloss: 0.452813
Epoch 48, 48/150, training mseloss: 0.398699, testing mseloss: 0.452631
Epoch 49, 49/150, training mseloss: 0.398130, testing mseloss: 0.456658
Epoch 50, 50/150, training mseloss: 0.397083, testing mseloss: 0.447038
Epoch 51, 51/150, training mseloss: 0.396734, testing mseloss: 0.460526
Epoch 52, 52/150, training mseloss: 0.395820, testing mseloss: 0.450684
Epoch 53, 53/150, training mseloss: 0.395121, testing mseloss: 0.452440
Epoch 54, 54/150, training mseloss: 0.394507, testing mseloss: 0.457155
Epoch 55, 55/150, training mseloss: 0.393625, testing mseloss: 0.447590
Epoch 56, 56/150, training mseloss: 0.393273, testing mseloss: 0.453286
Epoch 57, 57/150, training mseloss: 0.392379, testing mseloss: 0.444382
Epoch 58, 58/150, training mseloss: 0.392059, testing mseloss: 0.453440
Epoch 59, 59/150, training mseloss: 0.391233, testing mseloss: 0.453226
Epoch 60, 60/150, training mseloss: 0.390551, testing mseloss: 0.449592
Epoch 61, 61/150, training mseloss: 0.390319, testing mseloss: 0.455424
Epoch 62, 62/150, training mseloss: 0.389352, testing mseloss: 0.447153
Epoch 63, 63/150, training mseloss: 0.389197, testing mseloss: 0.460850
