NGPUS = 1
Training the global horizontal and global vertical model with features uvthetaw with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and global vertical model, with features uvthetaw with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.88 MBs,
 --- Num params: 37.963 mil. 
Epoch 1, 1/150, training mseloss: 0.640567, testing mseloss: 0.588653
Epoch 2, 2/150, training mseloss: 0.535586, testing mseloss: 0.527119
Epoch 3, 3/150, training mseloss: 0.493401, testing mseloss: 0.503430
Epoch 4, 4/150, training mseloss: 0.466867, testing mseloss: 0.484076
Epoch 5, 5/150, training mseloss: 0.448989, testing mseloss: 0.465232
Epoch 6, 6/150, training mseloss: 0.435005, testing mseloss: 0.464310
Epoch 7, 7/150, training mseloss: 0.424129, testing mseloss: 0.443162
Epoch 8, 8/150, training mseloss: 0.414794, testing mseloss: 0.446496
Epoch 9, 9/150, training mseloss: 0.406893, testing mseloss: 0.434563
Epoch 10, 10/150, training mseloss: 0.400361, testing mseloss: 0.428487
Epoch 11, 11/150, training mseloss: 0.394173, testing mseloss: 0.429325
Epoch 12, 12/150, training mseloss: 0.389077, testing mseloss: 0.415674
Epoch 13, 13/150, training mseloss: 0.384014, testing mseloss: 0.419630
Epoch 14, 14/150, training mseloss: 0.379837, testing mseloss: 0.411772
Epoch 15, 15/150, training mseloss: 0.375980, testing mseloss: 0.412663
Epoch 16, 16/150, training mseloss: 0.372477, testing mseloss: 0.416328
Epoch 17, 17/150, training mseloss: 0.369392, testing mseloss: 0.405025
Epoch 18, 18/150, training mseloss: 0.366413, testing mseloss: 0.409600
Epoch 19, 19/150, training mseloss: 0.363955, testing mseloss: 0.396190
Epoch 20, 20/150, training mseloss: 0.361496, testing mseloss: 0.403258
Epoch 21, 21/150, training mseloss: 0.359360, testing mseloss: 0.398517
Epoch 22, 22/150, training mseloss: 0.357255, testing mseloss: 0.398398
Epoch 23, 23/150, training mseloss: 0.355436, testing mseloss: 0.405922
Epoch 24, 24/150, training mseloss: 0.353751, testing mseloss: 0.393621
Epoch 25, 25/150, training mseloss: 0.352133, testing mseloss: 0.400366
Epoch 26, 26/150, training mseloss: 0.350659, testing mseloss: 0.388603
Epoch 27, 27/150, training mseloss: 0.349246, testing mseloss: 0.394055
Epoch 28, 28/150, training mseloss: 0.347906, testing mseloss: 0.397853
Epoch 29, 29/150, training mseloss: 0.346529, testing mseloss: 0.393737
Epoch 30, 30/150, training mseloss: 0.345306, testing mseloss: 0.399035
Epoch 31, 31/150, training mseloss: 0.344067, testing mseloss: 0.383426
Epoch 32, 32/150, training mseloss: 0.343147, testing mseloss: 0.392531
Epoch 33, 33/150, training mseloss: 0.341891, testing mseloss: 0.387259
Epoch 34, 34/150, training mseloss: 0.340801, testing mseloss: 0.386011
Epoch 35, 35/150, training mseloss: 0.339734, testing mseloss: 0.398772
Epoch 36, 36/150, training mseloss: 0.338660, testing mseloss: 0.383313
Epoch 37, 37/150, training mseloss: 0.337796, testing mseloss: 0.388887
Epoch 38, 38/150, training mseloss: 0.336647, testing mseloss: 0.379720
Epoch 39, 39/150, training mseloss: 0.335872, testing mseloss: 0.387333
Epoch 40, 40/150, training mseloss: 0.334902, testing mseloss: 0.384032
Epoch 41, 41/150, training mseloss: 0.333989, testing mseloss: 0.385480
Epoch 42, 42/150, training mseloss: 0.333253, testing mseloss: 0.392078
Epoch 43, 43/150, training mseloss: 0.332143, testing mseloss: 0.380049
Epoch 44, 44/150, training mseloss: 0.331528, testing mseloss: 0.383956
Epoch 45, 45/150, training mseloss: 0.330479, testing mseloss: 0.378455
Epoch 46, 46/150, training mseloss: 0.329913, testing mseloss: 0.385039
Epoch 47, 47/150, training mseloss: 0.329220, testing mseloss: 0.390494
Epoch 48, 48/150, training mseloss: 0.328275, testing mseloss: 0.379813
Epoch 49, 49/150, training mseloss: 0.327752, testing mseloss: 0.382849
Epoch 50, 50/150, training mseloss: 0.326636, testing mseloss: 0.375274
Epoch 51, 51/150, training mseloss: 0.326325, testing mseloss: 0.384159
Epoch 52, 52/150, training mseloss: 0.325521, testing mseloss: 0.380313
Epoch 53, 53/150, training mseloss: 0.325028, testing mseloss: 0.379583
Epoch 54, 54/150, training mseloss: 0.324589, testing mseloss: 0.384879
Epoch 55, 55/150, training mseloss: 0.323702, testing mseloss: 0.377253
Epoch 56, 56/150, training mseloss: 0.323291, testing mseloss: 0.384985
Epoch 57, 57/150, training mseloss: 0.322464, testing mseloss: 0.371948
Epoch 58, 58/150, training mseloss: 0.322203, testing mseloss: 0.380728
Epoch 59, 59/150, training mseloss: 0.321517, testing mseloss: 0.382583
Epoch 60, 60/150, training mseloss: 0.320957, testing mseloss: 0.375385
Epoch 61, 61/150, training mseloss: 0.320566, testing mseloss: 0.389762
Epoch 62, 62/150, training mseloss: 0.319797, testing mseloss: 0.371022
