NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvtheta with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvtheta with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.17 MBs,
 --- Num params: 37.777 mil. 
Epoch 1, 1/150, training mseloss: 0.250623, testing mseloss: 0.248556
Epoch 2, 2/150, training mseloss: 0.231932, testing mseloss: 0.236461
Epoch 3, 3/150, training mseloss: 0.228037, testing mseloss: 0.235030
Epoch 4, 4/150, training mseloss: 0.225039, testing mseloss: 0.232374
Epoch 5, 5/150, training mseloss: 0.221831, testing mseloss: 0.223737
Epoch 6, 6/150, training mseloss: 0.214984, testing mseloss: 0.220228
Epoch 7, 7/150, training mseloss: 0.206899, testing mseloss: 0.206144
Epoch 8, 8/150, training mseloss: 0.200511, testing mseloss: 0.210943
Epoch 9, 9/150, training mseloss: 0.195050, testing mseloss: 0.197965
Epoch 10, 10/150, training mseloss: 0.190630, testing mseloss: 0.195937
Epoch 11, 11/150, training mseloss: 0.186945, testing mseloss: 0.194302
Epoch 12, 12/150, training mseloss: 0.183861, testing mseloss: 0.185192
Epoch 13, 13/150, training mseloss: 0.181095, testing mseloss: 0.191391
Epoch 14, 14/150, training mseloss: 0.178495, testing mseloss: 0.180848
Epoch 15, 15/150, training mseloss: 0.176460, testing mseloss: 0.183534
Epoch 16, 16/150, training mseloss: 0.174392, testing mseloss: 0.180227
Epoch 17, 17/150, training mseloss: 0.172790, testing mseloss: 0.181007
Epoch 18, 18/150, training mseloss: 0.171173, testing mseloss: 0.178222
Epoch 19, 19/150, training mseloss: 0.169674, testing mseloss: 0.172061
Epoch 20, 20/150, training mseloss: 0.168377, testing mseloss: 0.175654
Epoch 21, 21/150, training mseloss: 0.166875, testing mseloss: 0.171398
Epoch 22, 22/150, training mseloss: 0.165754, testing mseloss: 0.175031
Epoch 23, 23/150, training mseloss: 0.164489, testing mseloss: 0.172607
Epoch 24, 24/150, training mseloss: 0.163310, testing mseloss: 0.174516
Epoch 25, 25/150, training mseloss: 0.162295, testing mseloss: 0.171099
Epoch 26, 26/150, training mseloss: 0.161032, testing mseloss: 0.165824
Epoch 27, 27/150, training mseloss: 0.160103, testing mseloss: 0.171228
Epoch 28, 28/150, training mseloss: 0.158890, testing mseloss: 0.167518
Epoch 29, 29/150, training mseloss: 0.157969, testing mseloss: 0.169499
Epoch 30, 30/150, training mseloss: 0.157195, testing mseloss: 0.167564
Epoch 31, 31/150, training mseloss: 0.156314, testing mseloss: 0.163762
Epoch 32, 32/150, training mseloss: 0.155700, testing mseloss: 0.167279
Epoch 33, 33/150, training mseloss: 0.154863, testing mseloss: 0.163308
Epoch 34, 34/150, training mseloss: 0.154304, testing mseloss: 0.166424
Epoch 35, 35/150, training mseloss: 0.153588, testing mseloss: 0.167493
Epoch 36, 36/150, training mseloss: 0.152897, testing mseloss: 0.162467
Epoch 37, 37/150, training mseloss: 0.152427, testing mseloss: 0.167710
Epoch 38, 38/150, training mseloss: 0.151588, testing mseloss: 0.160854
Epoch 39, 39/150, training mseloss: 0.151196, testing mseloss: 0.166292
Epoch 40, 40/150, training mseloss: 0.150490, testing mseloss: 0.161994
Epoch 41, 41/150, training mseloss: 0.149952, testing mseloss: 0.162068
Epoch 42, 42/150, training mseloss: 0.149478, testing mseloss: 0.165733
Epoch 43, 43/150, training mseloss: 0.148829, testing mseloss: 0.160432
Epoch 44, 44/150, training mseloss: 0.148525, testing mseloss: 0.172909
Epoch 45, 45/150, training mseloss: 0.147889, testing mseloss: 0.160296
Epoch 46, 46/150, training mseloss: 0.147573, testing mseloss: 0.163648
Epoch 47, 47/150, training mseloss: 0.147068, testing mseloss: 0.163078
Epoch 48, 48/150, training mseloss: 0.146592, testing mseloss: 0.156890
Epoch 49, 49/150, training mseloss: 0.146315, testing mseloss: 0.160631
Epoch 50, 50/150, training mseloss: 0.145809, testing mseloss: 0.157698
Epoch 51, 51/150, training mseloss: 0.145520, testing mseloss: 0.162944
Epoch 52, 52/150, training mseloss: 0.145048, testing mseloss: 0.159431
Epoch 53, 53/150, training mseloss: 0.144715, testing mseloss: 0.160534
Epoch 54, 54/150, training mseloss: 0.144378, testing mseloss: 0.171407
Epoch 55, 55/150, training mseloss: 0.143988, testing mseloss: 0.156298
Epoch 56, 56/150, training mseloss: 0.143814, testing mseloss: 0.160585
Epoch 57, 57/150, training mseloss: 0.143306, testing mseloss: 0.157431
Epoch 58, 58/150, training mseloss: 0.143166, testing mseloss: 0.161796
Epoch 59, 59/150, training mseloss: 0.142750, testing mseloss: 0.159445
Epoch 60, 60/150, training mseloss: 0.142461, testing mseloss: 0.158486
Epoch 61, 61/150, training mseloss: 0.142270, testing mseloss: 0.164325
Epoch 62, 62/150, training mseloss: 0.141828, testing mseloss: 0.155119
Epoch 63, 63/150, training mseloss: 0.141681, testing mseloss: 0.157356
Epoch 64, 64/150, training mseloss: 0.141275, testing mseloss: 0.155567
Epoch 65, 65/150, training mseloss: 0.141135, testing mseloss: 0.159542
Epoch 66, 66/150, training mseloss: 0.140879, testing mseloss: 0.157857
Epoch 67, 67/150, training mseloss: 0.140593, testing mseloss: 0.154352
Epoch 68, 68/150, training mseloss: 0.140488, testing mseloss: 0.158494
Epoch 69, 69/150, training mseloss: 0.140100, testing mseloss: 0.154782
Epoch 70, 70/150, training mseloss: 0.140019, testing mseloss: 0.160879
Epoch 71, 71/150, training mseloss: 0.139663, testing mseloss: 0.163249
Epoch 72, 72/150, training mseloss: 0.139553, testing mseloss: 0.155342
Epoch 73, 73/150, training mseloss: 0.139358, testing mseloss: 0.162141
Epoch 74, 74/150, training mseloss: 0.139032, testing mseloss: 0.155934
Epoch 75, 75/150, training mseloss: 0.139001, testing mseloss: 0.156931
