NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaw with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaw with min-max learning rates 0.0001 to 0.0005, and dropout=0. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
Epoch 1, 1/150, training mseloss: 0.235205, testing mseloss: 0.219254
Epoch 2, 2/150, training mseloss: 0.200567, testing mseloss: 0.194558
Epoch 3, 3/150, training mseloss: 0.185086, testing mseloss: 0.184868
Epoch 4, 4/150, training mseloss: 0.174791, testing mseloss: 0.173398
Epoch 5, 5/150, training mseloss: 0.167275, testing mseloss: 0.165416
Epoch 6, 6/150, training mseloss: 0.161317, testing mseloss: 0.166773
Epoch 7, 7/150, training mseloss: 0.156653, testing mseloss: 0.155397
Epoch 8, 8/150, training mseloss: 0.152913, testing mseloss: 0.156989
Epoch 9, 9/150, training mseloss: 0.149355, testing mseloss: 0.150942
Epoch 10, 10/150, training mseloss: 0.146751, testing mseloss: 0.151262
Epoch 11, 11/150, training mseloss: 0.144392, testing mseloss: 0.152057
Epoch 12, 12/150, training mseloss: 0.142355, testing mseloss: 0.147398
Epoch 13, 13/150, training mseloss: 0.140626, testing mseloss: 0.150193
Epoch 14, 14/150, training mseloss: 0.138894, testing mseloss: 0.140894
Epoch 15, 15/150, training mseloss: 0.137556, testing mseloss: 0.145677
Epoch 16, 16/150, training mseloss: 0.139975, testing mseloss: 0.168519
Epoch 17, 17/150, training mseloss: 0.139274, testing mseloss: 0.143128
Epoch 18, 18/150, training mseloss: 0.135069, testing mseloss: 0.141778
Epoch 19, 19/150, training mseloss: 0.133741, testing mseloss: 0.135742
Epoch 20, 20/150, training mseloss: 0.132781, testing mseloss: 0.144176
Epoch 21, 21/150, training mseloss: 0.131758, testing mseloss: 0.137182
Epoch 22, 22/150, training mseloss: 0.130870, testing mseloss: 0.139726
Epoch 23, 23/150, training mseloss: 0.129997, testing mseloss: 0.140840
Epoch 24, 24/150, training mseloss: 0.129142, testing mseloss: 0.136092
Epoch 25, 25/150, training mseloss: 0.128474, testing mseloss: 0.151153
Epoch 26, 26/150, training mseloss: 0.127692, testing mseloss: 0.133665
Epoch 27, 27/150, training mseloss: 0.127136, testing mseloss: 0.140393
Epoch 28, 28/150, training mseloss: 0.126510, testing mseloss: 0.137097
Epoch 29, 29/150, training mseloss: 0.125928, testing mseloss: 0.136428
Epoch 30, 30/150, training mseloss: 0.125440, testing mseloss: 0.141845
Epoch 31, 31/150, training mseloss: 0.124867, testing mseloss: 0.135888
Epoch 32, 32/150, training mseloss: 0.124512, testing mseloss: 0.141840
Epoch 33, 33/150, training mseloss: 0.124004, testing mseloss: 0.133513
Epoch 34, 34/150, training mseloss: 0.123655, testing mseloss: 0.133661
Epoch 35, 35/150, training mseloss: 0.123257, testing mseloss: 0.142313
Epoch 36, 36/150, training mseloss: 0.122841, testing mseloss: 0.134754
Epoch 37, 37/150, training mseloss: 0.122604, testing mseloss: 0.140115
Epoch 38, 38/150, training mseloss: 0.122140, testing mseloss: 0.131486
Epoch 39, 39/150, training mseloss: 0.121901, testing mseloss: 0.140026
Epoch 40, 40/150, training mseloss: 0.121563, testing mseloss: 0.134642
Epoch 41, 41/150, training mseloss: 0.121259, testing mseloss: 0.131917
Epoch 42, 42/150, training mseloss: 0.121040, testing mseloss: 0.137019
Epoch 43, 43/150, training mseloss: 0.120632, testing mseloss: 0.134971
Epoch 44, 44/150, training mseloss: 0.120474, testing mseloss: 0.138509
Epoch 45, 45/150, training mseloss: 0.120065, testing mseloss: 0.131570
Epoch 46, 46/150, training mseloss: 0.119906, testing mseloss: 0.136519
Epoch 47, 47/150, training mseloss: 0.119641, testing mseloss: 0.134274
Epoch 48, 48/150, training mseloss: 0.119336, testing mseloss: 0.131371
Epoch 49, 49/150, training mseloss: 0.119234, testing mseloss: 0.138736
Epoch 50, 50/150, training mseloss: 0.118868, testing mseloss: 0.132730
Epoch 51, 51/150, training mseloss: 0.118775, testing mseloss: 0.137919
Epoch 52, 52/150, training mseloss: 0.118463, testing mseloss: 0.131219
Epoch 53, 53/150, training mseloss: 0.118303, testing mseloss: 0.133562
Epoch 54, 54/150, training mseloss: 0.118132, testing mseloss: 0.133126
Epoch 55, 55/150, training mseloss: 0.117819, testing mseloss: 0.131406
Epoch 56, 56/150, training mseloss: 0.117784, testing mseloss: 0.140011
Epoch 57, 57/150, training mseloss: 0.117456, testing mseloss: 0.133407
Epoch 58, 58/150, training mseloss: 0.117388, testing mseloss: 0.135052
Epoch 59, 59/150, training mseloss: 0.117165, testing mseloss: 0.131473
Epoch 60, 60/150, training mseloss: 0.116957, testing mseloss: 0.131177
Epoch 61, 61/150, training mseloss: 0.116898, testing mseloss: 0.136863
Epoch 62, 62/150, training mseloss: 0.116591, testing mseloss: 0.135100
Epoch 63, 63/150, training mseloss: 0.116572, testing mseloss: 0.134880
Epoch 64, 64/150, training mseloss: 0.116301, testing mseloss: 0.135015
Epoch 65, 65/150, training mseloss: 0.116266, testing mseloss: 0.132538
Epoch 66, 66/150, training mseloss: 0.116170, testing mseloss: 0.133141
Epoch 67, 67/150, training mseloss: 0.115857, testing mseloss: 0.133510
Epoch 68, 68/150, training mseloss: 0.115866, testing mseloss: 0.133634
Epoch 69, 69/150, training mseloss: 0.115601, testing mseloss: 0.133877
Epoch 70, 70/150, training mseloss: 0.115628, testing mseloss: 0.134318
Epoch 71, 71/150, training mseloss: 0.115404, testing mseloss: 0.135046
Epoch 72, 72/150, training mseloss: 0.115264, testing mseloss: 0.131622
Epoch 73, 73/150, training mseloss: 0.115175, testing mseloss: 0.136489
Epoch 74, 74/150, training mseloss: 0.114892, testing mseloss: 0.135577
Epoch 75, 75/150, training mseloss: 0.114910, testing mseloss: 0.134729
