NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetaN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.30 MBs,
 --- Num params: 37.812 mil. 
Epoch 1, 1/150, training mseloss: 0.249198, testing mseloss: 0.250277
Epoch 2, 2/150, training mseloss: 0.231560, testing mseloss: 0.235227
Epoch 3, 3/150, training mseloss: 0.227788, testing mseloss: 0.233785
Epoch 4, 4/150, training mseloss: 0.224730, testing mseloss: 0.230218
Epoch 5, 5/150, training mseloss: 0.221995, testing mseloss: 0.225855
Epoch 6, 6/150, training mseloss: 0.217186, testing mseloss: 0.220974
Epoch 7, 7/150, training mseloss: 0.210047, testing mseloss: 0.209868
Epoch 8, 8/150, training mseloss: 0.203231, testing mseloss: 0.211381
Epoch 9, 9/150, training mseloss: 0.197375, testing mseloss: 0.198477
Epoch 10, 10/150, training mseloss: 0.192519, testing mseloss: 0.193805
Epoch 11, 11/150, training mseloss: 0.187904, testing mseloss: 0.191483
Epoch 12, 12/150, training mseloss: 0.184198, testing mseloss: 0.185152
Epoch 13, 13/150, training mseloss: 0.181260, testing mseloss: 0.186826
Epoch 14, 14/150, training mseloss: 0.178593, testing mseloss: 0.179673
Epoch 15, 15/150, training mseloss: 0.176420, testing mseloss: 0.179442
Epoch 16, 16/150, training mseloss: 0.173987, testing mseloss: 0.180857
Epoch 17, 17/150, training mseloss: 0.171865, testing mseloss: 0.174057
Epoch 18, 18/150, training mseloss: 0.169881, testing mseloss: 0.179100
Epoch 19, 19/150, training mseloss: 0.168098, testing mseloss: 0.171406
Epoch 20, 20/150, training mseloss: 0.166609, testing mseloss: 0.173054
Epoch 21, 21/150, training mseloss: 0.165090, testing mseloss: 0.170478
Epoch 22, 22/150, training mseloss: 0.163832, testing mseloss: 0.170380
Epoch 23, 23/150, training mseloss: 0.162657, testing mseloss: 0.172179
Epoch 24, 24/150, training mseloss: 0.161446, testing mseloss: 0.166652
Epoch 25, 25/150, training mseloss: 0.160579, testing mseloss: 0.170750
Epoch 26, 26/150, training mseloss: 0.159527, testing mseloss: 0.165773
Epoch 27, 27/150, training mseloss: 0.158796, testing mseloss: 0.168949
Epoch 28, 28/150, training mseloss: 0.157937, testing mseloss: 0.167041
Epoch 29, 29/150, training mseloss: 0.157160, testing mseloss: 0.165673
Epoch 30, 30/150, training mseloss: 0.156546, testing mseloss: 0.167991
Epoch 31, 31/150, training mseloss: 0.155693, testing mseloss: 0.162845
Epoch 32, 32/150, training mseloss: 0.155172, testing mseloss: 0.167252
Epoch 33, 33/150, training mseloss: 0.154436, testing mseloss: 0.165274
Epoch 34, 34/150, training mseloss: 0.153903, testing mseloss: 0.165952
Epoch 35, 35/150, training mseloss: 0.153317, testing mseloss: 0.166257
Epoch 36, 36/150, training mseloss: 0.152625, testing mseloss: 0.162994
Epoch 37, 37/150, training mseloss: 0.152229, testing mseloss: 0.170044
Epoch 38, 38/150, training mseloss: 0.151586, testing mseloss: 0.160383
