NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.43 MBs,
 --- Num params: 37.846 mil. 
NGPUS = 1
Training the global horizontal and stratosphere_only vertical model with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005.
Training the global horizontal and stratosphere_only vertical model, with features uvthetawN2 with min-max learning rates 0.0001 to 0.0005, and dropout=0.05. Starting from epoch 1. Training on years [2010 2012 2014] and testing on years [2015].
Defined input files
Model created. 
 --- model size: 144.43 MBs,
 --- Num params: 37.846 mil. 
Epoch 1, 1/150, training mseloss: 0.240930, testing mseloss: 0.222839
Epoch 2, 2/150, training mseloss: 0.204481, testing mseloss: 0.198482
Epoch 3, 3/150, training mseloss: 0.189617, testing mseloss: 0.186224
Epoch 4, 4/150, training mseloss: 0.179229, testing mseloss: 0.176634
Epoch 5, 5/150, training mseloss: 0.171349, testing mseloss: 0.168903
Epoch 6, 6/150, training mseloss: 0.165165, testing mseloss: 0.166490
Epoch 7, 7/150, training mseloss: 0.160035, testing mseloss: 0.158217
Epoch 8, 8/150, training mseloss: 0.156363, testing mseloss: 0.160996
Epoch 9, 9/150, training mseloss: 0.153173, testing mseloss: 0.153578
Epoch 10, 10/150, training mseloss: 0.150537, testing mseloss: 0.152369
Epoch 11, 11/150, training mseloss: 0.148026, testing mseloss: 0.153815
Epoch 12, 12/150, training mseloss: 0.145723, testing mseloss: 0.148233
Epoch 13, 13/150, training mseloss: 0.143835, testing mseloss: 0.152183
Epoch 14, 14/150, training mseloss: 0.141864, testing mseloss: 0.143658
Epoch 15, 15/150, training mseloss: 0.140361, testing mseloss: 0.146283
Epoch 16, 16/150, training mseloss: 0.138778, testing mseloss: 0.143162
Epoch 17, 17/150, training mseloss: 0.137506, testing mseloss: 0.142822
Epoch 18, 18/150, training mseloss: 0.136343, testing mseloss: 0.144167
Epoch 19, 19/150, training mseloss: 0.135164, testing mseloss: 0.137917
Epoch 20, 20/150, training mseloss: 0.134288, testing mseloss: 0.149324
Epoch 21, 21/150, training mseloss: 0.133255, testing mseloss: 0.138591
Epoch 22, 22/150, training mseloss: 0.132519, testing mseloss: 0.141741
Epoch 23, 23/150, training mseloss: 0.131678, testing mseloss: 0.142435
Epoch 24, 24/150, training mseloss: 0.130903, testing mseloss: 0.138354
Epoch 25, 25/150, training mseloss: 0.130310, testing mseloss: 0.151834
Epoch 26, 26/150, training mseloss: 0.129799, testing mseloss: 0.133491
Epoch 27, 27/150, training mseloss: 0.129062, testing mseloss: 0.141708
Epoch 28, 28/150, training mseloss: 0.128370, testing mseloss: 0.136843
Epoch 29, 29/150, training mseloss: 0.127918, testing mseloss: 0.139341
Epoch 30, 30/150, training mseloss: 0.131900, testing mseloss: 0.137957
Epoch 31, 31/150, training mseloss: 0.129863, testing mseloss: 0.137421
Epoch 32, 32/150, training mseloss: 0.128102, testing mseloss: 0.144342
Epoch 33, 33/150, training mseloss: 0.126675, testing mseloss: 0.132080
Epoch 34, 34/150, training mseloss: 0.126258, testing mseloss: 0.140420
Epoch 35, 35/150, training mseloss: 0.125787, testing mseloss: 0.138293
